code_region,nom_region,nb_sites,habitants
1,Guadeloupe,2263271,384315
2,Martinique,2062908,360749
3,Guyane,758375,286618
4,La Réunion,4114590,871157
6,Mayotte,480825,310000
11,Île-de-France,127940526,86222010
24,Centre-Val de Loire,27422936,23160033
27,Bourgogne-Franche-Comté,31368183,14008070
28,Normandie,35172125,13311864
32,Hauts-de-France,63138053,77973025
44,Grand Est,58717660,194649840
52,Pays de la Loire,39919899,19510580
53,Bretagne,36673984,10186452
75,Nouvelle-Aquitaine,67097043,97141072
76,Occitanie,67545172,192709632
84,Auvergne-Rhône-Alpes,87982651,194997024
93,Provence-Alpes-Côte d'Azur,58904524,25639200
94,Corse,2686699,347597
